original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"Lights_4.svg","chart_widget","1900","994a82ed2ddad9d4885b60349494d54f6d87358d8e0173ef3e923bca235e333e","false","Lights_4.svg","chart_widget__lights_4.svg"
"Lights_5.svg","chart_widget","1619","e3805509b98fc2803ed9db76eff455efb1e96d2d30554b0ca96d796ba688f119","false","Lights_5.svg","chart_widget__lights_5.svg"
"Lights_6.svg","chart_widget","1619","e700a5392a493177cca69b82307b251bc6b46983d08270dae59064bd09e6d798","false","Lights_6.svg","chart_widget__lights_6.svg"
"Lights_7.svg","chart_widget","962","3368453794f020d076678db50a2f10c4d71b13ff62333cb2c53b14eb81e598fb","false","Lights_7.svg","chart_widget__lights_7.svg"
"Lights_8.svg","chart_widget","962","d420824da831964cbae9166850de648d97ae46b30b3cdb98c26d11ece6481e2b","false","Lights_8.svg","chart_widget__lights_8.svg"
"Lights_9.svg","chart_widget","1621","d6e257c66d6fcdd5a026068183050ca41975b5e2e86eea834f2a13566f00e5b1","false","Lights_9.svg","chart_widget__lights_9.svg"
"Lights.svg","chart_widget","1619","e4db7362dfebb281fd24ced8b436c334576ca72c0f7e1fc52b5e9f823085bba0","false","Lights.svg","chart_widget__lights.svg"
"line_10.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","false","line_10.svg","chart_widget__line_10.svg"
"line_11.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","false","line_11.svg","chart_widget__line_11.svg"
"line_12.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_12.svg"
"line_13.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_13.svg"
"line_14.svg","chart_widget","190","d023da42e68f7eaf25ade65fe30b4d1b1688492f614dc507c9c2626c5b59737e","true","line_10.svg","chart_widget__line_14.svg"
"line_15.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_15.svg"
"line_16.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","false","line_16.svg","chart_widget__line_16.svg"
"line_17.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_17.svg"
"line_18.svg","chart_widget","190","1d33a031f65e8f538612d6fdb7599337ff0ca43ae637bca7850487cb8d917c8b","true","line_16.svg","chart_widget__line_18.svg"
"line_19.svg","chart_widget","161","80f2bad1d80b3d19cd5554b383342556af55cde67beb2f161bf0e6c71d026fd2","true","line_11.svg","chart_widget__line_19.svg"
